"key_Rapid,reset,cTime,head_reset,eye_reset,eye_voltage_norm,a_raw,b_raw,c_raw,x_raw,y_raw,z_raw,FLT_THR_POS,FRZ_THR_POS,eye_closed,eye_closed_confirmed,max_nod_f,max_nod_f_confirmed,max_nod_p,max_nod_p_confirmed,delta_pitch,pitch_deg,delta_roll,roll_deg,yaw_deg,head_buzz_f,head_buzz_p,eye_buzz,lt_state,st_state,dltst,cf,freeze,v3v3,head_buzz,g_quiet,o_quiet,g_is_quiet_sure,o_is_quiet_sure,g_is_quiet,o_is_quiet,roll_rate,pitch_rate,yaw_rate,eye_rate,"
"v20250113_wearDn33iot_Rapid,0,17.391001,1,1,2.2508,2.0752,-3.6011,-5.9814,0.1536,-0.1917,0.9729,0.0400,0.0100,0,0,-11.734,0,-6.734,0,13.000,2.915,5.000,-5.266,175.808,0,0,0,2.2508,2.2508,0.0000,1.000,0,3.3000,0,-0.0040,0.8833,1,1,1,1,-6.145,-2.125,-3.049,0.076,"
"v20250113_wearDn33iot_Rapid,0,17.490999,1,1,2.2355,3.2959,-4.4556,-3.7842,0.1647,-0.1873,0.9817,0.0400,0.0100,0,0,-11.737,0,-6.737,0,13.000,2.739,5.000,-5.263,175.580,0,0,0,2.2355,2.2355,0.0000,1.000,0,3.3000,0,0.0001,-2.0827,1,1,1,1,-4.602,-1.159,-3.046,-0.067,"
"v20250113_wearDn33iot_Rapid,0,17.591000,1,1,2.2290,3.0518,-4.8828,-2.0142,0.1654,-0.2034,0.9686,0.0400,0.0100,0,0,-11.136,0,-6.136,0,13.000,2.582,5.000,-5.864,175.636,0,0,0,2.2290,2.2290,0.0000,1.000,0,3.3000,0,0.0007,-3.8604,1,1,1,1,-4.066,-1.356,-2.141,-0.036,"
"v20250113_wearDn33iot_Rapid,0,17.691000,1,1,2.3547,-0.5493,-0.3662,-0.0610,0.1790,-0.2162,0.9595,0.0400,0.0100,0,0,-10.018,0,-5.018,0,13.000,2.572,5.000,-6.982,175.831,0,0,0,2.3547,2.3547,0.0000,1.000,0,3.3000,0,-0.0070,-8.4054,1,1,1,1,-5.933,-1.127,-0.781,0.510,"
"v20250113_wearDn33iot_Rapid,0,17.791000,1,1,2.2467,-0.6104,-0.5493,-0.4883,0.1821,-0.2131,0.9609,0.0400,0.0100,0,0,-9.550,0,-4.550,0,13.000,2.456,5.000,-7.450,175.873,0,0,0,2.2467,2.2467,0.0000,1.000,0,3.3000,0,-0.0114,-12.4376,1,1,1,1,-6.611,-0.949,-0.033,-0.126,"
"v20250113_wearDn33iot_Rapid,0,17.891001,1,1,2.2758,0.4883,-3.7842,2.6855,0.1736,-0.1816,0.9796,0.0400,0.0100,0,0,-10.378,0,-5.378,0,13.000,2.452,5.000,-6.622,176.071,0,0,0,2.2758,2.2758,0.0000,1.000,0,3.3000,0,-0.0038,-10.0200,1,1,1,1,-3.091,-0.793,0.477,0.048,"
"v20250113_wearDn33iot_Rapid,0,17.990999,1,1,2.2637,0.1831,-2.3193,-2.0752,0.2112,-0.2129,0.9436,0.0400,0.0100,0,0,-9.739,0,-4.739,0,13.000,1.262,5.000,-7.261,176.047,0,0,0,2.2637,2.2637,0.0000,1.000,0,3.3000,0,-0.0084,-6.4016,1,1,1,1,-1.742,-3.022,0.595,0.116,"
"v20250113_wearDn33iot_Rapid,0,18.091000,1,1,2.2451,2.4414,0.4883,1.4038,0.1978,-0.1967,0.9691,0.0400,0.0100,0,0,-10.217,0,-5.217,0,13.000,1.522,5.000,-6.783,176.124,0,0,0,2.2451,2.2451,0.0000,1.000,0,3.3000,0,-0.0095,-4.9984,1,1,1,1,-1.191,-3.426,0.482,-0.143,"
"v20250113_wearDn33iot_Rapid,0,18.191000,1,1,2.2669,-1.0986,2.5635,-1.8311,0.1763,-0.2087,0.9677,0.0400,0.0100,0,0,-9.818,0,-4.818,0,13.000,2.407,5.000,-7.182,175.952,0,0,0,2.2669,2.2669,0.0000,1.000,0,3.3000,0,0.0004,-3.4708,1,1,1,1,-0.710,0.277,0.066,0.032,"
"v20250113_wearDn33iot_Rapid,0,18.291000,1,1,2.3837,0.5493,-0.1221,0.6104,0.1852,-0.2053,0.9615,0.0400,0.0100,0,0,-9.788,0,-4.788,0,13.000,2.353,5.000,-7.212,176.032,0,0,0,2.3837,2.3837,0.0000,1.000,0,3.3000,0,-0.0006,-3.8059,1,1,1,1,-1.214,1.650,-0.101,0.534,"
"v20250113_wearDn33iot_Rapid,0,18.391001,1,1,2.6400,1.4648,2.6855,1.1597,0.1893,-0.2122,0.9633,0.0400,0.0100,0,0,-9.680,0,-4.680,0,13.000,2.510,5.000,-7.320,176.137,0,0,0,2.6400,2.6400,0.0000,1.000,0,3.3000,0,-0.0009,-3.2665,1,1,1,1,-1.021,1.237,0.306,2.025,"
