key_Rapid,cTime,eye_voltage_norm,FLT_THR_POS,FRZ_THR_POS,eye_closed,eye_closed_confirmed,max_nod_f,max_nod_p,head_buzz,eye_buzz,lt_state,st_state,dltst,freeze
v20250113_pro0n33iot_Rapid,76.078003,1.1725,0,,0,0,48.769,53.769,1,,,,,
v20250113_pro0n33iot_Rapid,76.178001,1.1701,0,,0,0,42.224,47.224,1,,,,,
v20250113_pro0n33iot_Rapid,76.278,1.3184,0,,0,0,36.064,41.064,1,,,,,
v20250113_pro0n33iot_Rapid,76.377998,1.3804,0,,0,0,19.767,24.767,1,,,,,
v20250113_pro0n33iot_Rapid,76.477997,1.3925,0,,0,0,6.785,11.785,1,,,,,
v20250113_pro0n33iot_Rapid,76.579002,1.3925,0,,0,0,-3,2,1,,,,,
v20250113_pro0n33iot_Rapid,76.68,1.3901,0,,0,0,-9.149,-4.149,0,,,,,
,tone stopped,,,,,,,,,,,,,
v20250113_pro0n33iot_Rapid,76.779999,1.3901,0,,0,0,-13.439,-8.439,0,,,,,
v20250113_pro0n33iot_Rapid,76.880997,1.4006,0,,0,0,-15.494,-10.494,0,,,,,
v20250113_pro0n33iot_Rapid,76.981003,1.3901,0,,0,0,-15.231,-10.231,0,,,,,
v20250113_pro0n33iot_Rapid,77.082001,1.3909,0,,0,0,-15.143,-10.143,0,,,,,
v20250113_pro0n33iot_Rapid,77.182999,1.4086,0,,0,0,-15.165,-10.165,0,,,,,
v20250113_pro0n33iot_Rapid,77.282997,1.3933,0,,0,0,-15.053,-10.053,0,,,,,
v20250113_pro0n33iot_Rapid,77.383003,1.3982,0,,0,0,-14.803,-9.803,0,,,,,
v20250113_pro0n33iot_Rapid,77.483002,1.3982,0,,0,0,-15.264,-10.264,0,,,,,
v20250113_pro0n33iot_Rapid,77.584,1.3933,0,,0,0,-14.983,-9.983,0,,,,,
v20250113_pro0n33iot_Rapid,77.684998,1.3845,0,,0,0,-15.494,-10.494,0,,,,,
v20250113_pro0n33iot_Rapid,77.785004,1.4014,0,,0,0,-15.221,-10.221,0,,,,,
v20250113_pro0n33iot_Rapid,77.885002,1.3917,0,,0,0,-15.322,-10.322,0,,,,,
v20250113_pro0n33iot_Rapid,77.986,1.4054,0,,0,0,-15.496,-10.496,0,,,,,
v20250113_pro0n33iot_Rapid,78.085999,1.3958,0,,0,0,-15.421,-10.421,0,,,,,
v20250113_pro0n33iot_Rapid,78.186996,1.3893,0,,0,0,-15.441,-10.441,0,,,,,
v20250113_pro0n33iot_Rapid,78.287003,1.3949,0,,0,0,-15.501,-10.501,0,,,,,
v20250113_pro0n33iot_Rapid,78.388,1.3949,0,,0,0,-15.405,-10.405,0,,,,,
v20250113_pro0n33iot_Rapid,78.487999,1.3829,0,,0,0,-15.929,-10.929,0,,,,,
v20250113_pro0n33iot_Rapid,78.587997,1.2056,0,,0,0,1.097,6.097,1,,,,,
,grav tone played,,,,,,,,,,,,,
v20250113_pro0n33iot_Rapid,78.689003,1.2346,0,,0,0,17.493,22.493,1,,,,,
v20250113_pro0n33iot_Rapid,78.790001,1.1677,0,,0,0,27.982,32.982,1,,,,,
v20250113_pro0n33iot_Rapid,78.889999,1.1999,0,,0,0,32.98,37.98,1,,,,,
v20250113_pro0n33iot_Rapid,78.990997,1.378,0,,0,0,28.08,33.08,1,,,,,
v20250113_pro0n33iot_Rapid,79.091003,1.3982,0,,0,0,14.442,19.442,1,,,,,
v20250113_pro0n33iot_Rapid,79.191002,1.3941,0,,0,0,0.98,5.98,1,,,,,
v20250113_pro0n33iot_Rapid,79.292,1.3933,0,,0,0,-6.734,-1.734,0,,,,,
,tone stopped,,,,,,,,,,,,,
v20250113_pro0n33iot_Rapid,79.391998,1.4264,0,,0,0,-11.46,-6.46,0,,,,,
v20250113_pro0n33iot_Rapid,79.492996,1.3909,0,,0,0,-14.242,-9.242,0,,,,,
v20250113_pro0n33iot_Rapid,79.593002,1.4014,0,,0,0,-14.208,-9.208,0,,,,,
v20250113_pro0n33iot_Rapid,79.693001,1.3804,0,,0,0,-14.138,-9.138,0,,,,,
v20250113_pro0n33iot_Rapid,79.793999,1.3974,0,,0,0,-13.66,-8.66,0,,,,,
v20250113_pro0n33iot_Rapid,79.894997,1.3796,0,,0,0,-7.505,-2.505,0,,,,,
v20250113_pro0n33iot_Rapid,79.996002,1.1234,0,,0,0,9.362,14.362,1,,,,,
,grav tone played,,,,,,,,,,,,,
v20250113_pro0n33iot_Rapid,80.096001,1.1,0,,0,0,25.111,30.111,1,,,,,
v20250113_pro0n33iot_Rapid,80.196999,1.1032,0,,0,0,36.406,41.406,1,,,,,
v20250113_pro0n33iot_Rapid,80.297997,1.3426,0,,0,0,37.123,42.123,1,,,,,
v20250113_pro0n33iot_Rapid,80.399002,1.3909,0,,0,0,24.839,29.839,1,,,,,
v20250113_pro0n33iot_Rapid,80.5,1.399,0,,0,0,8.854,13.854,1,,,,,
v20250113_pro0n33iot_Rapid,80.600998,1.3941,0,,0,0,-3.049,1.951,1,,,,,
v20250113_pro0n33iot_Rapid,80.702003,1.4086,0,,0,0,-8.84,-3.84,0,,,,,
,tone stopped,,,,,,,,,,,,,
v20250113_pro0n33iot_Rapid,80.802002,1.3829,0,,0,0,-11.943,-6.943,0,,,,,
v20250113_pro0n33iot_Rapid,80.903,1.4344,0,,0,0,-12.89,-7.89,0,,,,,
v20250113_pro0n33iot_Rapid,81.003998,1.3917,0,,0,0,-12.766,-7.766,0,,,,,
v20250113_pro0n33iot_Rapid,81.103996,1.3812,0,,0,0,-12.729,-7.729,0,,,,,
v20250113_pro0n33iot_Rapid,81.205002,1.4417,0,,0,0,-12.82,-7.82,0,,,,,
v20250113_pro0n33iot_Rapid,81.306,1.3877,0,,0,0,-12.845,-7.845,0,,,,,
v20250113_pro0n33iot_Rapid,81.406998,1.3917,0,,0,0,-12.957,-7.957,0,,,,,
